date,month,temp,prec,pet,qsim,snow,soil,s1,s2
5/9/1998,5,10.7,0.0,3.05274,2.935509026803175,0.0,140.17251354921137,25.595351078812893,47.707277943741424
5/10/1998,5,10.0,1.0,3.00983,2.6895859248994802,0.0,137.58545991502226,23.088679072756353,48.03289993880724
5/11/1998,5,11.6,0.1,3.10791,2.487044493660041,0.0,134.52229997002544,20.385900738294836,48.22667589366892
5/12/1998,5,5.6,10.0,2.74011,2.43800863539091,0.0,136.54192860494322,23.219495007398756,48.28143741271028
5/13/1998,5,7.8,10.8,2.87497,2.676179741517882,0.0,138.60577516633268,26.305644095047473,48.476783414826016
5/14/1998,5,9.3,0.0,2.96692,2.74211511465875,0.0,135.6388551663327,23.1294103626913,48.822529951281865
5/15/1998,5,11.5,0.0,3.1017799999999998,2.5040041260086237,0.0,132.5370751663327,20.36608701554143,49.00254987039079
5/16/1998,5,11.5,0.0,3.1017799999999998,2.2944802863579037,0.0,129.4352951663327,17.961995703521044,49.040803223760044
5/17/1998,5,4.9,1.9,2.6972,2.1371571723153164,0.0,127.72867648672782,16.779854941668212,48.958086944460895
5/18/1998,5,4.1,1.2,2.64816,2.0338122497751225,0.0,125.72378549802549,15.39870478795367,48.81791795265509
5/19/1998,5,6.4,0.0,2.7891500000000002,1.9078763310232678,0.0,122.93463549802549,13.640373165519692,48.61149483299967
5/20/1998,5,7.5,0.0,2.8565799999999997,1.768263069788362,0.0,120.07805549802549,12.110624654002132,48.32128359461566
5/21/1998,5,6.9,0.6,2.8198,1.6518540006353308,0.0,117.61749945278217,11.020499494225172,47.96038915542346
5/22/1998,5,4.8,2.5,2.69107,1.582174452784418,0.0,116.4709189750036,10.786845037754478,47.55220634702625
5/23/1998,5,7.2,9.2,2.8381899999999995,1.630581635845644,0.0,119.39647434056829,13.064309817281709,47.14050447197345
5/24/1998,5,10.0,0.0,3.00983,1.6950171745630995,0.0,116.3866443405683,11.609449541035087,46.85090987339807
5/25/1998,5,12.2,0.8,3.14469,1.5861203006084403,0.0,113.74365742470053,10.642018016568295,46.49436415298186
5/26/1998,5,11.4,32.4,3.09565,1.8389793003530421,0.0,131.6018349621278,20.94822813698715,46.09657777075064
5/27/1998,5,14.2,3.9,3.26729,2.340635110069198,0.0,130.29358508210194,20.409418359204686,46.222057622184984
5/28/1998,5,15.8,2.6,3.3653700000000004,2.281241894517086,0.0,128.26426809451596,19.263640960094044,46.31808738770152
5/29/1998,5,13.7,21.2,3.23664,2.4548494873360074,0.0,136.29485287738905,26.93564285240872,46.35490768795219
5/30/1998,5,9.0,7.8,2.94853,2.8755522025386995,0.0,136.93122461291824,27.892607546066397,46.77459167681358
5/31/1998,5,10.7,1.4,3.05274,2.8540535426665476,0.0,134.5136011462755,25.274952031720506,47.23373022058063
6/1/1998,6,9.8,0.0,3.495696,2.6382849139690316,0.0,131.0179051462755,22.23270826759684,47.55280321775505
6/2/1998,6,10.7,1.7,3.56469,2.4350996655667965,0.0,128.3159513107061,20.423220028378616,47.71338256677979
6/3/1998,6,13.1,0.7,3.7486740000000003,2.2834659515995908,0.0,124.9389976739489,18.33998106144659,47.780275916863125
6/4/1998,6,11.7,2.1,3.64135,2.142061221561608,0.0,122.47263854883026,17.12429264857717,47.74166945159819
6/5/1998,6,13.6,0.0,3.787004,2.0198246844566246,0.0,118.68563454883027,15.141634604262139,47.64305069499509
6/6/1998,6,15.6,0.0,3.9403240000000004,1.8650288216105149,0.0,114.74531054883026,13.416722105708061,47.4472714113083
6/7/1998,6,13.5,0.5,3.779338,1.733610264584462,0.0,111.28565686307267,12.096363917723606,47.169162088367536
6/8/1998,6,12.6,2.0,3.710344,1.6410860742850886,0.0,108.90411821985285,11.438531251639363,46.83059704248637
6/9/1998,6,8.7,2.3,3.4113700000000002,1.5856039179459862,0.0,107.05913300612423,10.928637402654859,46.46591166421861
6/10/1998,6,9.3,2.7,3.4573660000000004,1.5419539762524854,0.0,105.47446154315386,10.578720003280097,46.08302530106698
6/11/1998,6,8.2,0.0,3.37304,1.4826516081538084,0.0,102.11465818340771,9.446986402853684,45.690300795209644
6/12/1998,6,7.9,2.4,3.350042,1.407438853425408,0.0,100.62601313564565,9.120421709792033,45.248844099448135
6/13/1998,6,12.0,0.5,3.664348,1.3578401161640783,0.0,97.51138468851471,8.3107088205167,44.79988830294877
6/14/1998,6,15.3,0.0,3.917326,1.2826384607996335,0.0,93.90401966314573,7.473816673849528,44.319425977915635
6/15/1998,6,14.9,0.0,3.8866620000000003,1.2086970147209453,0.0,90.45729962469072,6.745720506249089,43.806728292049804
6/16/1998,6,13.7,16.2,3.79467,1.242734407769139,0.0,100.0749258794343,9.453026247541976,43.26787975152126
6/17/1998,6,13.3,5.3,3.764006,1.3822602649069444,0.0,100.43174143434466,9.853516105082898,42.87517346886793
6/18/1998,6,16.2,0.8,3.9863200000000005,1.3701928994885444,0.0,97.23995533964127,9.027005937983505,42.510345804744716
6/19/1998,6,16.2,1.9,3.9863200000000005,1.3069213881718165,0.0,95.0148919478156,8.561376918722038,42.111489185549
6/20/1998,6,13.7,4.4,3.79467,1.2798265372499884,0.0,94.99146894573256,8.710370878613471,41.697328247774124
6/21/1998,6,10.0,5.6,3.5110280000000005,1.291506853387412,0.0,96.14631946448702,9.117010164058394,41.29890022674932
6/22/1998,6,13.1,2.9,3.7486740000000003,1.2968909845529544,0.0,94.95238533230865,8.865500724722988,40.92877273041725
6/23/1998,6,15.6,0.0,3.9403240000000004,1.2495390513923206,0.0,91.41906620130342,7.956485630509001,40.55347231204506
6/24/1998,6,11.6,6.2,3.633684,1.211420114063197,0.0,93.17122785515652,8.476376319705164,40.14022714732961
6/25/1998,6,16.4,0.5,4.001652,1.2073978784565105,0.0,90.0396994596474,7.728474468796224,39.76124142036828
6/26/1998,6,16.2,0.0,3.9863200000000005,1.1389907133834072,0.0,86.65007763747361,6.967272787852716,39.35244031540073
6/27/1998,6,17.5,4.0,4.085978000000001,1.0946574344050706,0.0,86.5609148825848,7.050623068090924,38.91375514848535
6/28/1998,6,21.4,0.0,4.384952,1.0701176394601233,0.0,82.97638889489738,6.377542069239104,38.48801119892019
6/29/1998,6,19.6,0.0,4.246964,1.0098785130371708,0.0,79.64842840300363,5.791961600238021,38.03712807840375
6/30/1998,6,20.8,0.0,4.3389560000000005,0.9558929497150649,0.0,76.38474886471123,5.282506592207079,37.56598359684757
7/1/1998,7,21.3,0.0,4.427136,0.9073795367573781,0.0,73.19119261246907,4.839280735220158,37.07878925452097
7/2/1998,7,21.7,0.0,4.459392,0.8651476984159077,0.0,70.10885982555337,4.452138276402546,36.57917750619156
7/3/1998,7,13.8,5.1,3.8223360000000004,0.8616188437699766,0.0,72.10026364718489,4.673827545740641,36.07020086988786
7/4/1998,7,15.5,1.0,3.959424,0.8442778446606345,0.0,70.28328606055966,4.420936002169723,35.582488229777134
