isodate,precip,tmax,tmin,wind,pet,q,er1,er2,ct_prev,dummy,qs
1986-01-01,0.10954838331913544,6.900245599317008,-6.68907708810832,0.8026599424742448,4.982696391794236,104.47856153878693,0.0,3.18157716564238e-5,0.0,0.0012761644758461246,0.10446262219902079
1986-01-02,0.03502562171574218,9.163251394656289,-4.446106044192908,1.2767873071785174,5.613827288024375,68.01639681274938,0.0,2.188156550700371e-5,0.10029363650124704,0.001576377715509433,0.06800358909991984
1986-01-03,0.0019403867972669442,9.040750314094268,-4.941508659760968,0.7835431406266791,5.602994063795532,44.269381430959996,0.0,1.269885026045645e-6,0.12243859155756914,0.001448930864238048,0.0442673336941151
1986-01-04,0.5081659331916811,9.646989868217537,-4.389903950996598,0.7409197953356284,5.777585446922278,29.462207057121475,0.0,0.0009890076709786477,0.11256284342023373,0.007231069869281958,0.02896654469851422
1986-01-05,0.17520296500808874,6.911336150739608,-4.6430936108868135,1.1395713956235138,4.858279276159632,19.306865170011974,0.0,0.0006025710390034078,0.5598488022426792,0.008562855286879344,0.018947609513487666
1986-01-06,0.1051111037332626,6.529528217684558,-7.449335236911527,0.6962347844182458,4.89367900370032,12.638603516747716,0.0,0.00040600403997148593,0.6744116732622174,0.009080912433153041,0.012395823368539538
1986-01-07,0.010798220781611387,7.117327266829626,-7.736318724586486,0.5280578628752274,5.0880019585868235,8.122618684056953,0.0,4.131647873937064e-5,0.7147383329641331,0.008452009493566016,0.008075389453469476
1986-01-08,0.00945273787466943,7.417943106214548,-7.416057159247432,0.6249911551139525,5.1745944729451665,5.283001769837348,0.0,3.3523042067211406e-5,0.6628531483863681,0.007831908266953987,0.00526180336928858
1986-01-09,0.0,6.91579344948349,-6.792777620403372,0.5342917080462583,4.991022837733088,3.427443779888972,0.0,0.0,0.6132407097285111,0.007143838961259141,0.003425186688648509
1986-01-10,0.010610574131831498,6.230152825561772,-7.2638971887134005,0.6448669292352432,4.791102157273504,2.250660868523175,0.0,3.192636363233067e-5,0.5612831939521419,0.00666217509262928,0.0022344968110409396
1986-01-11,0.00043269258155900943,7.613824758881904,-7.5222884720989045,0.6209689784453004,5.238975621905999,1.4572037164700957,0.0,1.2075962762276432e-6,0.5253847770196134,0.006125417419711963,0.0014547362770101788
1986-01-12,0.00573881733794544,8.372136864306789,-6.623949246058457,0.7467702591487685,5.456195230127198,0.956770681237066,0.0,1.4683683694377732e-5,0.4790640116218992,0.005647624632724167,0.0009492007514903451
1986-01-13,0.07327944339020251,8.528414313124763,-6.065185691058187,1.102056440489939,5.484930871384365,0.7398654737086412,0.0,0.0001854014394464254,0.4399136178311979,0.005978351611758365,0.0006461151848408516
1986-01-14,0.004569174907362828,9.382720846019133,-7.7497622413371134,0.8828790702397541,5.8125994492842965,0.43882178093628516,0.0,1.1345320859635147e-5,0.46542160764577006,0.005475074323298214,0.0004223181106208557
1986-01-15,0.04656633534608714,10.292839919933776,-6.191923457161111,0.8091834833172474,6.0788082924505655,0.3485715079585013,0.0,0.0001104778595814801,0.4236324519995328,0.005477497438262899,0.00029173112725268706
1986-01-16,0.9419987953392812,9.528441241169736,-2.397246698627322,1.3837684574727889,5.564199304717476,3.117514780104742,0.0,0.004471617691082619,0.42169610436282123,0.01588612204182459,0.00087077310430439
1986-01-17,0.010742724325688336,9.848961539106764,-5.145087409138839,1.2445946471987812,5.883788742803395,0.8729978275000488,0.0,7.089617712007293e-5,1.2346516898908604,0.01450800150295542,0.0005776273548685411
1986-01-18,0.0,9.790556705635142,-5.488598590413544,1.0417430742093992,5.879293389672065,0.4001691027394695,0.0,2.220446049250313e-15,1.1208152180412687,0.013056738236703391,0.00037600825953407955
1986-01-19,0.0,10.803604935178734,-6.620186179485471,0.9553115420684538,6.258650305914114,0.24637033403870406,0.0,0.0,1.008817458642651,0.011752040188330537,0.0002447637045684877
1986-01-20,0.00390548024337783,10.850292939251295,-5.745260256670657,0.7909976520476468,6.248457646616963,0.1716790418151323,0.0,1.8758938536473594e-5,0.9015376685388319,0.010547799486989567,0.00016218599329438367
1986-01-21,0.0,11.241046205931433,-4.580975996573534,1.2526886349603183,6.332967827368749,0.10666867986978246,0.0,4.440892098500626e-16,0.8093370584916991,0.009428228621357393,0.00010557545889302654
1986-01-22,0.02942885310259766,11.528268336466367,-4.760644197175044,1.232856072277918,6.440789295205525,0.14409323385925032,0.0,0.00011524521486703035,0.7222904118510001,0.008757020347331522,8.62724481519603e-5
1986-01-23,0.0053759733560928905,11.901936647621168,-4.63900186989293,1.570521078932357,6.564920181000418,0.07538958283595146,0.0,1.9197297745167374e-5,0.6695047303268427,0.007861903146166797,5.9082381121596855e-5
1986-01-24,0.00019961359223597544,11.688408296166436,-5.250582937061844,1.4202604376137924,6.5141196090718,0.04050485640971703,0.0,6.358538386986071e-7,0.5996614544112285,0.006987975196302325,3.855667137853664e-5
1986-01-25,0.04600245053016935,11.068142791886027,-5.203677859011216,0.9797623412448278,6.29601615781999,0.11406897013656905,0.0,0.00013595700916066433,0.5335322818520245,0.006751187151987479,4.5800044015648204e-5
1986-01-26,0.4299323167451769,11.686763152450139,-3.265723992996448,1.1427408448218643,6.405963371850359,1.1309905473013664,0.0,0.0016735942654459435,0.5176016875512575,0.01103812944839798,0.0002846431266563637
1986-01-27,0.7536781846142268,11.561087188195751,-4.249899498956771,1.4863282794904509,6.419615473098718,3.4831921332807876,0.0,0.0048989045887427585,0.8444153745748088,0.018616707682251158,0.0009312198914491224
