prcp,pet,rainfall,infiltration,soilwater,saturation,evap,percolation,outflow,slowflow,fastflow,slowflow_lag,fastflow_lag,routingstore,recharge,routedflow,flow
0.0,0.3,-0.0,-0.0,235.966719473926,0.0,0.2792717970604621,0.6796209291574591,0.6796209291574591,0.6116588362417132,0.06796209291574591,0.0,0.0,45.4697,0.5445719825618985,1.8601200013276076,2.404691983889506
9.3,0.4,8.9,8.9,238.97866108206242,3.939679126771857,0.3743055814074656,0.7241167417844452,5.684437615012588,5.11599385351133,0.5684437615012589,0.438998462646846,0.219499231323423,43.50400647875734,0.4665308583019429,1.5155207889672586,2.2015508785926245
3.2,0.4,2.8000000000000003,2.8000000000000003,239.1196883717875,1.237607229768737,0.37439483088549047,0.7262558620644833,2.2886486322957467,2.059783769066172,0.22886486322957467,2.806914973955341,0.787331459727255,44.32886980544348,0.4982316227034755,1.653908757992048,2.9394718404227786
7.3,0.3,7.0,7.0,241.20665446098076,3.02554002909282,0.28177306655747353,0.7585066555245498,4.73296662643173,4.259669963788557,0.473296662643173,3.7743223249141185,0.5448051800593374,45.95105174966208,0.5650177345329866,1.9524450110051195,3.0622679255974434
0.0,0.1,-0.0,-0.0,240.35422344993705,0.0,0.09379237014593447,0.7451981360387068,0.7451981360387068,0.6706783224348362,0.07451981360387068,3.025530426547319,0.32256816401571176,46.459119430671294,0.5871869461627488,2.0534045728227888,2.9631596830012494
0.0,0.1,-0.0,-0.0,239.5152329437524,0.0,0.09366108094645711,0.7322825199863847,0.7322825199863847,0.6590542679877462,0.07322825199863847,2.6841081507818934,0.3569366076566778,46.50263606246765,0.5891141922022248,2.0622214502858043,3.008272250144707
0.0,0.1,-0.0,-0.0,238.68928934281956,0.0,0.09353049139936045,0.7197432950936276,0.7197432950936276,0.6477689655842648,0.07197432950936276,0.6655753804028405,0.12126896667387899,44.516875800382465,0.5056667009304195,1.6866931047640907,2.3136287723683893
0.0,0.2,-0.0,-0.0,237.78248506492722,0.0,0.18677116725407483,0.7061749021193804,0.7061749021193804,0.6355574119074424,0.07061749021193804,0.6541000375821131,0.07310534669354896,42.97861603227007,0.44710700658168284,1.4319089906678097,1.9521213439430416
0.1,0.2,-0.0,-0.0,236.88953899555375,0.0,0.18648264413529658,0.6930146005537807,0.6930146005537807,0.6237131404984027,0.06930146005537807,0.6424081122936104,0.07182439480092967,41.74200814731419,0.4036776153280188,1.2485332618014546,1.724035271930403
0.2,0.3,-0.0,-0.0,235.91680042879702,0.0,0.2792471952378249,0.6789023600990634,0.6789023600990634,0.6110121240891571,0.06789023600990633,0.630357794967702,0.07048865132131724,40.72015506515242,0.37013569029062904,1.110630297989822,1.5512546396017681
2.9,0.3,2.6,2.6,236.14646258887862,1.1850608805892988,0.27936025979565043,0.6822133164791535,2.097152435889855,1.8874371923008693,0.2097152435889855,0.6181374138206915,0.06914691305629193,39.857526490692656,0.34341098626857924,1.003340629754356,1.415898529079227
0.2,0.2,0.0,0.0,235.27800909920236,0.0,0.18595405925923272,0.6697606889874076,0.6697606889874076,0.6027846200886668,0.06697606889874076,1.1713607667179944,0.09918715913414944,39.68213564138772,0.33815095115128785,0.9825128764859525,1.4198509867713898
0.0,0.2,-0.0,-0.0,234.42229435095572,0.0,0.18566926247504134,0.6576692425776798,0.6576692425776798,0.5919023183199118,0.06576692425776798,1.3234766880643962,0.16165694004321082,39.68494850181487,0.33823485275930465,0.982844322441032,1.4827361152435476
0.0,0.2,-0.0,-0.0,233.578955845903,0.0,0.18538578805540243,0.6459241675480569,0.6459241675480569,0.5813317507932513,0.06459241675480569,0.5980073063421244,0.08354564595225768,38.96187663295666,0.3171520456462549,0.9003693238067948,1.3010670154053074
0.0,0.2,-0.0,-0.0,232.74764589029954,0.0,0.18510363965719098,0.6345114387641313,0.6345114387641313,0.5710602948877181,0.06345114387641314,0.5872618554264032,0.0656517300366481,38.33161711893001,0.29955596915293875,0.8328354617595902,1.198043160949177
3.3,0.3,3.0,3.0,233.24951484228282,1.407188912608258,0.2779114466491913,0.6413819240070097,2.2341930113987516,2.0107737102588765,0.22341930113987518,0.5768225974415774,0.06448043232528398,37.77604828545906,0.2846333733183912,0.7765479724051334,1.1256617780488085
4.6,0.3,4.3,4.3,234.34719224636513,1.9954322406873028,0.27846619611539475,0.6566164266164926,2.9611841859291896,2.6650657673362708,0.296118418592919,1.2030922708876968,0.09869863575466466,37.91795921062324,0.28839340557461884,0.7906425888508699,1.1777346301801535
0.8,0.2,0.6000000000000001,0.6000000000000001,233.78336409468233,0.2799778967956735,0.18545475144677537,0.6487554054117267,0.9687775086160533,0.871899757754448,0.09687775086160533,2.2980069174378954,0.22050969271967247,39.136930133635644,0.3221674297398778,0.919839085689204,1.4625162081487542
1.8,0.2,1.6,1.6,233.69576166261228,0.7472471649159147,0.1854252160513545,0.6475408199482713,1.5002936550323567,1.350264289529121,0.15002936550323567,1.8778686458592713,0.24381094568201372,39.772792264065835,0.3408625348978879,0.9932374637145994,1.577910944294501
1.1,0.3,0.8,0.8,233.14370660104493,0.3756356449537564,0.27785759996698656,0.6399285029376149,1.0642928579838586,0.9578635721854728,0.10642928579838587,1.0819010517883076,0.1320433875716691,39.520593317241655,0.33335738353052874,0.9636183664989967,1.4290191376011945
0.0,0.2,-0.0,-0.0,232.3185396981293,0.0,0.18495694446039035,0.6286838678385372,0.6286838678385372,0.5658154810546835,0.06286838678385373,1.17800097787374,0.1341903590308018,39.40161854508587,0.3298581360608802,0.9498782803602429,1.413926775451925
