,date,min_temp,mean_temp,max_temp,precipitation,liquid_outflow,qsim,snowwater,thermal
2244,2001-09-22,10.11,11.15,12.1,4.82,5.270449825267194,4.820000016692304,1.5023072791912194e-07,0.0
2245,2001-09-23,9.62,10.93,12.24,15.5,16.94854154764346,15.500000015023073,1.3520765497021776e-07,0.0
2246,2001-09-24,5.25,8.5,11.55,0.0,1.474574405949227e-07,1.3520765624185288e-08,1.2168688934603248e-07,0.0
2247,2001-09-25,5.2900000000000205,8.260000000000048,13.2,0.0,1.327116946818131e-07,1.2168689037605693e-08,1.095182003084268e-07,0.0
2248,2001-09-26,4.010000000000048,8.56,15.89,0.01,0.0109346622687829,0.010000010951820114,9.856638019415214e-08,0.0
2249,2001-09-27,4.770000000000039,10.1,18.1,0.01,0.0109346503247293,0.010000009856638088,8.870974210715702e-08,0.0
2250,2001-09-28,5.920000000000016,12.08,18.41,0.31,0.3389709244228592,0.3100000088709743,7.98387678417016e-08,0.0
2251,2001-09-29,10.58,11.67,12.79,15.2,16.620505186026218,15.200000007983876,7.185489101319227e-08,0.0
2252,2001-09-30,11.22,13.37,17.88,0.01,0.0109346211931838,0.010000007185489138,6.466940187595831e-08,0.0
2253,2001-10-01,13.7,16.66,21.55,0.0,7.052843157925008e-08,6.466940216686763e-09,5.820246165927154e-08,0.0
2254,2001-10-02,14.36,17.51,22.21,0.03,0.0328036919603657,0.030000005820246187,5.2382215469780736e-08,0.0
2255,2001-10-03,10.71,15.92,20.46,29.45,32.20222868635156,29.45000000523822,4.7143993903716104e-08,0.0
2256,2001-10-04,7.32000000000005,10.59,15.52,0.01,0.0109345942434849,0.010000004714399406,4.242959449788438e-08,0.0
2257,2001-10-05,8.13,13.94,17.56,0.23,0.2514945313236659,0.23000000424295947,3.818663503557325e-08,0.0
2258,2001-10-06,12.64,15.78,20.65,34.46,37.68043462782775,34.460000003818664,3.4367971521872544e-08,0.0
2259,2001-10-07,12.51,14.63,17.16,1.17,1.2793415483880328,1.170000003436797,3.093117436146915e-08,0.0
2260,2001-10-08,7.87,10.23,13.07000000000005,12.89,14.09462573935972,12.890000003093117,2.783805691866716e-08,0.0
2261,2001-10-09,7.75,10.36,12.47,0.22,0.2405599725818798,0.2200000027838057,2.5054251221409838e-08,0.0
2262,2001-10-10,6.980000000000018,11.05,18.4,0.01,0.0109345701524175,0.010000002505425126,2.254882609490246e-08,0.0
2263,2001-10-11,6.710000000000036,12.0,19.0,0.01,0.0109345674200017,0.010000002254882612,2.0293943481875437e-08,0.0
2264,2001-10-12,9.680000000000009,14.25,22.16,0.01,0.0109345649608274,0.01000000202939435,1.8264549130823104e-08,0.0
2265,2001-10-13,10.09,15.2,23.16,0.0,1.9919311284782824e-08,1.8264549154027908e-09,1.6438094215420313e-08,0.0
2266,2001-10-14,10.26,13.35,18.8,0.07,0.0765418177251949,0.07000000164380943,1.4794284791998692e-08,0.0
